#	Country	Date	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
1	USA	28-02-2022	80,656,025	 +34,828	975,951 	+843	53,500,262	+278,579	26,179,812	7,770	241,322	2,920	950,614,834	2,844,228	334,225,917 	North America
2	India	28-02-2022	42,931,045	+6,915	514,054 	+211	42,324,550	+16,864	92,441	8,944	30,610	367	767,481,346	547,211	1,402,532,051 	Asia
3	Brazil	28-02-2022	28,787,620	+19,516	649,443 	+248	26,336,373	+152,750	1,801,804	8,318	133,853	3,020	63,776,166	296,539	215,068,475 	South America
4	France	28-02-2022	22,702,815	+13,483	138,367 	+232	20,901,504	 +235,191	1,662,944	2,484	346,537	2,112	246,629,975	3,764,574	65,513,384 	Europe
5	UK	28-02-2022	18,886,701	+27,312	161,361 	+46	17,449,650	+98,709	1,275,690	289	275,806	2,356	480,341,745	7,014,519	68,478,212 	Europe
6	Russia	28-02-2022	16,398,036	+106,920	351,660 	+733	13,575,652	+116,742	2,470,724	2,300	112,286	2,408	273,400,000	1,872,111	146,038,387 	Europe
7	Germany	28-02-2022	14,824,148	+95,396	123,446 	+118	11,010,700	+168,400	3,690,002	2,494	175,998	1,466	104,701,826	1,243,064	84,228,855 	Europe
8	Turkey	28-02-2022	14,089,456	+64,275	94,445 	+213	13,366,184	+76,832	628,827	1,128	164,125	1,100	143,811,260	1,675,226	85,845,863 	Asia
9	Italy	28-02-2022	12,783,341	+18,486	154,767 	+207	11,528,135	+40,415	1,100,439	714	211,946	2,566	187,336,379	3,106,009	60,314,170 	Europe
10	Spain	28-02-2022	11,021,444	+14,640	99,764 	+118	9,560,444	+130,770	1,361,236	1,053	235,577	2,132	471,036,328	10,068,137	46,784,854 	Europe
11	Argentina	28-02-2022	8,900,656	+3,478	126,152 	+32	8,682,190	+11,244	92,314	1,136	193,980	2,749	34,257,979	746,615	45,884,404 	South America
12	Iran	28-02-2022	7,051,429	+10,962	136,838 	+207	6,652,188	+18,062	262,403	3,952	82,206	1,595	47,252,235	550,868	85,777,737 	Asia
13	Netherlands	28-02-2022	6,361,626	+28,854	21,554 	+6	4,332,685	+48,536	2,007,387	173	369,908	1,253	21,107,399	1,227,329	17,197,837 	Europe
14	Colombia	28-02-2022	6,064,583	+1,882	138,767 	+74	5,890,563	+2,089	35,253	342	117,115	2,680	33,194,144	641,020	51,783,360 	South America
15	Poland	28-02-2022	5,667,050	+6,560	111,317 	+1	5,057,169	+18,060	498,564	841	150,010	2,947	33,629,931	890,204	37,777,768 	Europe
16	Indonesia	28-02-2022	5,564,448	+25,054	148,335 	+262	4,861,415	+43,992	554,698	2,911	19,993	533	84,648,008	304,133	278,325,882 	Asia
17	Mexico	28-02-2022	5,506,105	+3,519	318,086 	 +72	4,773,131	+8,480	414,888	4,798	41,973	2,425	15,084,437	114,989	131,181,893 	North America
18	Japan	28-02-2022	4,950,649	+63,703	23,446 	+176	4,190,125	+75,700	737,078	1,461	39,343	186	38,792,473	308,284	125,833,425 	Asia
19	Ukraine	28-02-2022	4,809,624		105,505 		4,058,020		646,099	177	111,083	2,437	19,521,252	450,864	43,297,396 	Europe
20	South Africa	28-02-2022	3,674,042	+785	99,412 	+183	3,543,109	+1,379	31,521	546	60,678	1,642	23,085,457	381,262	60,550,116 	Africa
21	Philippines	28-02-2022	3,661,992	+946	56,451 	+50	3,553,364	+1,714	52,177	298	32,696	504	28,203,435	251,811	112,002,351 	Asia
22	Israel	28-02-2022	3,634,510	 +16,065	10,198 	+72	3,547,010	+16,025	77,302	534	389,718	1,094	41,373,364	4,436,346	9,326,000 	Asia
23	Czechia	28-02-2022	3,577,712	+3,326	38,667 	+38	3,449,915	+14,723	89,130	221	333,059	3,600	52,579,250	4,894,747	10,741,976 	Europe
24	Belgium	28-02-2022	3,554,816	+5,559	30,162 	+17	2,977,603	+68,285	547,051	269	304,523	2,584	31,623,639	2,709,037	11,673,387 	Europe
25	Peru	28-02-2022	3,517,260	+996	210,672 	+134	N/A	N/A	N/A	975	104,264	6,245	27,364,060	811,164	33,734,322 	South America
26	Vietnam	28-02-2022	3,458,867	+94,807	40,252 	+108	2,438,951	+27,039	979,664	3,473	35,011	407	79,198,980	801,667	98,792,826 	Asia
27	Malaysia	28-02-2022	3,442,736	+23,100	32,749 	+75	3,116,564	+30,294	293,423	361	104,154	991	49,602,479	1,500,630	33,054,443 	Asia
28	Canada	28-02-2022	3,292,980	+5,925	36,602 	+65	3,145,873	+14,513	110,505	666	85,997	956	58,130,321	1,518,095	38,291,630 	North America
29	Portugal	28-02-2022	3,262,618	+4,209	21,063 	+24	2,785,374	+762	456,181	102	321,525	2,076	37,805,639	3,725,673	10,147,331 	Europe
30	Australia	28-02-2022	3,211,078	+19,114	5,171 	 +12	3,001,687	+20,676	204,220	136	123,545	199	63,499,306	2,443,117	25,991,100 	Australia/Oceania
31	S. Korea	28-02-2022	3,134,456	+139,615	8,058 	+114	969,524		2,156,874	715	61,050	157	15,804,065	307,817	51,342,464 	Asia
32	Chile	28-02-2022	3,062,362	+19,491	42,353 	+153	2,067,063	+30,696	952,946	1,079	157,946	2,184	33,012,243	1,702,656	19,388,672 	South America
33	Thailand	28-02-2022	2,891,927	+22,311	22,936 	+42	2,655,349	+17,470	213,642	 687	41,260	327	17,270,775	246,406	70,090,853 	Asia
34	Switzerland	28-02-2022	2,792,418	+9,005	13,234 	+11	2,171,436	+73,592	607,748	137	318,779	1,511	18,662,771	2,130,521	8,759,722 	Europe
